archivo,ruta_completa,estado,tamaño_bytes,fecha_modificacion,numero_paginas,titulo,autor,sujeto,creador,productor,fecha_creacion,fecha_modificacion_pdf,palabras_clave,asunto,resumen,error
"Ley de Instituciones Asistenciales para Niñas, Niños y Adolescentes en el Estado de Aguascalientes.pdf","/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley de Instituciones Asistenciales para Niñas, Niños y Adolescentes en el Estado de Aguascalientes.pdf",aguascalientes,489438,2025-10-03T20:26:38,26,"LEY DE INSTITUCIONES ASISTENCIALES PARA NIÑAS, NIÑOS Y",Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130145104-06'00',D:20250130145104-06'00',,,,
Ley de Coordinación Fiscal del Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley de Coordinación Fiscal del Estado de Aguascalientes.pdf,aguascalientes,463280,2025-10-03T20:25:46,21,LEY DE COORDINACIÓN FISCAL DEL ESTADO DE,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130124058-06'00',D:20250130124058-06'00',,,,
Ley Orgánica de la Administración Pública Estatal de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley Orgánica de la Administración Pública Estatal de Aguascalientes.pdf,aguascalientes,780693,2025-10-03T20:28:26,87,LEY ORGÁNICA DE LA ADMINISTRACIÓN PÚBLICA ESTATAL.,Usuario de Microsoft Office,,Microsoft® Word 2016,Microsoft® Word 2016,D:20250220090723-06'00',D:20250220090723-06'00',,,,
Ley para Prevenir y Erradicar la Trata de Personas en el Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley para Prevenir y Erradicar la Trata de Personas en el Estado de Aguascalientes.pdf,aguascalientes,492066,2025-10-03T20:29:04,27,LEY PARA PREVENIR Y ERRADICAR LA TRATA DE PERSONAS EN EL,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250204120930-06'00',D:20250204120930-06'00',,,,
Ley de la Universidad Politécnica de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley de la Universidad Politécnica de Aguascalientes.pdf,aguascalientes,494664,2025-10-03T20:26:48,29,LEY DE LA UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES.,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130150012-06'00',D:20250130150012-06'00',,,,
Ley Sobre el Escudo y el Himno del Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley Sobre el Escudo y el Himno del Estado de Aguascalientes.pdf,aguascalientes,402075,2025-10-03T20:29:28,9,LEY SOBRE EL ESCUDO Y EL HIMNO DEL ESTADO DE,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250204102515-06'00',D:20250204102515-06'00',,,,
Ley de la Procuraduría Estatal de Protección al Ambiente del Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley de la Procuraduría Estatal de Protección al Ambiente del Estado de Aguascalientes.pdf,aguascalientes,478157,2025-10-03T20:26:46,25,LEY DE LA PROCURADURÍA ESTATAL DE PROTECCIÓN AL,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130145849-06'00',D:20250130145849-06'00',,,,
Ley de Fomento a las Organizaciones de la Sociedad Civil del Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley de Fomento a las Organizaciones de la Sociedad Civil del Estado de Aguascalientes.pdf,aguascalientes,789934,2025-10-03T20:26:06,32,LEY DE FOMENTO A LAS ORGANIZACIONES DE LA SOCIEDAD,Usuario de Microsoft Office,,Microsoft® Word 2016,Microsoft® Word 2016,D:20250219120100-06'00',D:20250219120100-06'00',,,,
Ley del Servicio Civil de Carrera para el Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley del Servicio Civil de Carrera para el Estado de Aguascalientes.pdf,aguascalientes,416113,2025-10-03T20:28:16,12,LEY DEL SERVICIO CIVIL DE CARRERA PARA EL ESTADO DE,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130163222-06'00',D:20250130163222-06'00',,,,
Ley Orgánica de la Universidad Tecnológica de Calvillo del Estado de Aguascalientes.pdf,/home/elias/Documentos/AImas/leyes_de_todos_los_estados/aguascalientes/Ley Orgánica de la Universidad Tecnológica de Calvillo del Estado de Aguascalientes.pdf,aguascalientes,442678,2025-10-03T20:28:34,17,LEY ORGÁNICA DE LA UNIVERSIDAD TECNOLÓGICA DE CALVILLO,Usuario de Microsoft Office,,Microsoft® Word para Microsoft 365,Microsoft® Word para Microsoft 365,D:20250130164525-06'00',D:20250130164525-06'00',,,,
