nombre,ruta_completa,ruta_relativa,tamaño_bytes,tamaño_mb,fecha_modificacion,fecha_creacion,extension,hash_md5
listado.txt,/home/elias/Documentos/Embeddings/SIEM/listado.txt,listado.txt,60924,0.06,2025-10-16T13:25:14,2025-10-16T15:09:22.091952,.txt,40364a77bd54b54b70207c726fe7059c
contenido y justificación.docx,/home/elias/Documentos/Embeddings/SIEM/contenido y justificación.docx,contenido y justificación.docx,34796,0.03,2025-10-16T13:21:16,2025-10-16T15:09:22.088592,.docx,00b7114f1b21a086a5976348e4fe5198
Observaciones.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/Observaciones.docx,SIEM/Marco_jurídico/Observaciones.docx,16367,0.02,2025-10-15T15:54:00,2025-10-16T15:09:53.121521,.docx,b830dd69da677ab0c581d2b5f4582c4e
DOF_300620_Reglas_Comercio_Exterior_2020.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_300620_Reglas_Comercio_Exterior_2020.docx,SIEM/ANAM/DOF_300620_Reglas_Comercio_Exterior_2020.docx,127647424,121.73,2025-10-16T13:08:10,2025-10-16T15:09:29.783425,.docx,36077d81013d3270fa1779269a0d575c
DOF_140721_ANAM.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_140721_ANAM.docx,SIEM/ANAM/DOF_140721_ANAM.docx,1417246,1.35,2025-10-16T11:16:52,2025-10-16T15:09:22.315361,.docx,15cca2b7d82fd81e943b43f61f998b8c
imagen_Informe-de-Gestion-Gubernamental_ANAM_2018_2024.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/imagen_Informe-de-Gestion-Gubernamental_ANAM_2018_2024.docx,SIEM/ANAM/imagen_Informe-de-Gestion-Gubernamental_ANAM_2018_2024.docx,511472,0.49,2025-10-16T13:03:48,2025-10-16T15:09:29.796547,.docx,470828a048504f056b2844bc43307135
DOF_211221_Reglamento_ANAM.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_211221_Reglamento_ANAM.docx,SIEM/ANAM/DOF_211221_Reglamento_ANAM.docx,14685570,14.01,2025-10-16T11:35:36,2025-10-16T15:09:23.410546,.docx,2d4f931b6ea20ae9144bfec01d79c755
DOF_210122_Vehiculos_procedencia_extr.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_210122_Vehiculos_procedencia_extr.docx,SIEM/ANAM/DOF_210122_Vehiculos_procedencia_extr.docx,104772,0.1,2025-10-16T11:28:54,2025-10-16T15:09:23.045808,.docx,5707a1b02fb4b3fd86f55d3a94a6322b
DOF_220224_Codigo_de_conducta_ANAM.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_220224_Codigo_de_conducta_ANAM.docx,SIEM/ANAM/DOF_220224_Codigo_de_conducta_ANAM.docx,2717765,2.59,2025-10-16T11:37:26,2025-10-16T15:09:23.478853,.docx,5ef3778d3140c4b14faf6d530be49a9d
DOF_1703_22_Circunscripción_Aduanas_mod.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_1703_22_Circunscripción_Aduanas_mod.docx,SIEM/ANAM/DOF_1703_22_Circunscripción_Aduanas_mod.docx,547399,0.52,2025-10-16T11:14:52,2025-10-16T15:09:22.329919,.docx,4bc7670ad0912ae28699e485e23a1be4
DOF_121121_Ley_Aduanera.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_121121_Ley_Aduanera.docx,SIEM/ANAM/DOF_121121_Ley_Aduanera.docx,1708443,1.63,2025-10-16T11:16:28,2025-10-16T15:09:22.279350,.docx,b45b3b36b4bd9c378be05a3dc82f44dd
DOF_241221_Reglas_Comercio_Exterior_2022.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_241221_Reglas_Comercio_Exterior_2022.docx,SIEM/ANAM/DOF_241221_Reglas_Comercio_Exterior_2022.docx,88518498,84.42,2025-10-16T12:30:32,2025-10-16T15:09:26.557149,.docx,318c157c569b4fc677590cef9f281242
DOF_240619_Reglas_Comercio_Exterior_2019.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_240619_Reglas_Comercio_Exterior_2019.docx,SIEM/ANAM/DOF_240619_Reglas_Comercio_Exterior_2019.docx,29418422,28.06,2025-10-16T11:47:26,2025-10-16T15:09:24.207626,.docx,f4c029e52b70dfd1f00816dc2b765863
DOF_181217_Reglas_Comercio_Exterior_2018.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_181217_Reglas_Comercio_Exterior_2018.docx,SIEM/ANAM/DOF_181217_Reglas_Comercio_Exterior_2018.docx,27888596,26.6,2025-10-16T11:28:18,2025-10-16T15:09:23.021532,.docx,41c4411210f5a5322a065a041cb32b02
DOF_010322_Circunscripción_Aduanas.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_010322_Circunscripción_Aduanas.docx,SIEM/ANAM/DOF_010322_Circunscripción_Aduanas.docx,2100160,2.0,2025-10-16T11:16:04,2025-10-16T15:09:22.206582,.docx,20739f84b9982fb3026cb5f0566677ee
DOF_190122_Vehiculos_procedencia_extr.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/ANAM/DOF_190122_Vehiculos_procedencia_extr.docx,SIEM/ANAM/DOF_190122_Vehiculos_procedencia_extr.docx,798626,0.76,2025-10-16T11:28:48,2025-10-16T15:09:23.042630,.docx,ec795015f264d0956a272227bf403bff
Copia_09_01_1995.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/TLC_capítulos_de_inversión/Copia_09_01_1995.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/TLC_capítulos_de_inversión/Copia_09_01_1995.docx,78220,0.07,2025-10-15T11:28:46,2025-10-16T15:10:07.384298,.docx,c2b5cb591e0d1b4fce681be96c8d496e
Copia_29_04_2016.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/TLC_capítulos_de_inversión/Copia_29_04_2016.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/TLC_capítulos_de_inversión/Copia_29_04_2016.docx,84039,0.08,2025-10-15T11:28:54,2025-10-16T15:10:07.386750,.docx,7ff164697e8c4f8e817e30973d24e6ec
Kuwait.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Kuwait.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Kuwait.docx,2908929,2.77,2025-10-14T11:46:58,2025-10-16T15:09:58.816811,.docx,9e5540a748eecc3eaf572b4df0ec101c
Grecia.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Grecia.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Grecia.docx,2009842,1.92,2025-10-14T11:43:04,2025-10-16T15:09:58.545822,.docx,24cc21fc3ea380e54602526054b681de
China.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/China.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/China.docx,2730740,2.6,2025-10-14T11:35:22,2025-10-16T15:09:58.015657,.docx,22fb4c91a7c3cd103b1c35a711d4bd30
Corea.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Corea.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Corea.docx,2307427,2.2,2025-10-14T11:36:10,2025-10-16T15:09:58.073629,.docx,d5d539260319084a6417653be7c089ed
Cuba.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Cuba.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Cuba.docx,2612547,2.49,2025-10-14T11:37:12,2025-10-16T15:09:58.139074,.docx,605bf5e960ee8238df4a424952a926ab
Turquia.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Turquia.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Turquia.docx,3337525,3.18,2025-10-14T11:55:50,2025-10-16T15:09:59.397048,.docx,52eb4a6959ffe5cfc1696100c125c6a6
Portugal.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Portugal.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Portugal.docx,2089436,1.99,2025-10-14T11:48:36,2025-10-16T15:09:58.924752,.docx,1374e17fe7bca0379ce01d7c06378c52
Reino_unido.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Reino_unido.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Reino_unido.docx,2756202,2.63,2025-10-14T11:49:42,2025-10-16T15:09:58.994026,.docx,4f58118dae5e1fad1c9a024c4cfb6f52
Argentina.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Argentina.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Argentina.docx,2124388,2.03,2025-10-14T11:31:02,2025-10-16T15:09:57.699414,.docx,3a88329dd58d5ede901b3cdda74fdf51
Alemania.docx,/home/elias/Documentos/Embeddings/SIEM/SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Alemania.docx,SIEM/Marco_jurídico/02_Tratados_internacionales/Comercio_exterior_paises_con_tratados_firmados/Acuerdos_internacionales_inversión/Acuerdos_de_promoción_protección_reciproca_inversiones/Alemania.docx,1969756,1.88,2025-10-14T11:30:24,2025-10-16T15:09:57.646005,.docx,e16c5b0636b1ba3c551d1fea4278b2d6
